1	Jones	Brian	42	b4gDbT98z6E	22	59	Is there any public testimony regarding this part of the hearing? If the sergeants can assist the speakers? Welcome and if you can state your name. Tell us who you are and representing.
2	Jackson	Hannah-Beth	100	i9llaC_1rmE	37	60	This is the you snooze you lose group, right? We're, we're here, thank you very much, Mister Chair. I and Mister Chair. I wanted to thank the committee for the technical amendments to the bill, which are now in print. And stipulate that this bill would apply to veterans hired on or after January 1, 2016. So if there's no concern about that.
3	Beall	Jim	92	2aI5J_1P430	1671	1698	I think the Governor's proposal tried to do that, but I think when we finalize what we're doing, we have to get to a point where as a policy we're recognizing the very fact that fuel efficiency is part of the future that we're trying to deal with here. It's just gonna be here. The costs of the roads, interesting enough, don't change.
4	Pavley	Fran	104	oUB8meWTgiM	1519	1539	Yes, and there's many. Right. It's not limited to here and I think I said that earlier on, but it's very frustrating. I haven't served on the budget subcommittee on this since I was in the assembly and it was my ongoing mantra for six years as chair there and people gradually got the hint.
5	Hueso	Ben	48	RuFiLUXgjss	1090	1116	So questions will be asked and you can argue on the one hand that this-- that there is more involved in cross examining a person than just asking questions. I'd like to know what that is because, you know, we also don't believe that anybody in particular should be terrorized or intimidated or harassed in that process.
6	Galgiani	Cathleen	95	1JV-wI6cFUY	866	891	But, in my district, to take away the tool for law enforcement would be absolutely detrimental because we have a different problem that's unique in my area, and I want to preface what I'm about to talk about it by saying that in no way do I mean to tie homelessness with crime. Not at all, not at all.
7	Chau	Ed	116	-1v9avmnxCY	651	668	One, it has to be within one half mile of a major transit stop, and by that we mean either ferry, rail or intersection of buses for example, that would provide services every 15 minutes.
8	Atkins	Toni	110	EgZgFkyj3MQ	1187	1217	Having previously concluded diplomatic assignments in Hong Kong, Malaysia, China, Austria, Sri Lanka, as well as serving in various capacities in India's Ministry of External Affairs. I did share with him this would be his best post, just so you know. Prior to his posting in San Francisco this past November of 2014, ambassador served as India's ambassador to the republic of Zimbabwe and later as ambassador to the Czech Republic.
9	Thurmond	Tony	4	nugSHhjUz14	565	579	Thank you, Madame Chair, for your leadership on the budget process and the subcommittee process, and thank you. Yes, I will miss our hearings, two five hour hearings a week. I will truly miss it, wrong text.
10	Leno	Mark	60	Q3p12T-SoaE	164	177	And over the years, we have done, although we've done much to remove some of the hurdles that have been in place, for example, we were the last state get rid of the need for fingerprinting.
11	Hueso	Ben	48	GUxOzh3Wh0Q	1688	1700	So it's all, it's a comprehensive effort and I think we're not talking about enormous amounts of plants, and thereby not really talking about an enormous amount of money.
12	Gipson	Mike	28	Y_pbsK-_qw0	893	909	But we're looking at ways to continue this pipeline that exists in our state, more prisons, lack of opportunities for students going to college, and things of that nature. And so I think this is a step in the right direction and I'm enthusiastically supporting it. Thank you.
13	Gipson	Mike	28	-F9OB-5fyEQ	465	499	The Auditor, I have requested an audit to be done to assess the University's progress as well as determine how this has improved the transparency through the budget process that I believe that this body as well as California's taxpayers strongly demand. I wanna thank the presenters for presenting to this body today, my colleagues as well, we're gonna have some final comments by the Chair of Higher Education, Mr. Medina.
14	Hill	Jerry	66	2W00giXvusA	1295	1318	Is that it, Mark? You have that? On page five of six in the analysis?  No, it's just amendments to be taken in appropriations or on the floor that deal with the issues. And if they're not resolved, then we would certainly reserve the right to bring the bill back to the committee for review.
15	Bonilla	Susan	3	VFoe5hvDs-o	36	54	They are professionals who work in laboratory settings. They're best known for examining gynecological tissue samples to identify cancer. Cytologists work under the direct on-site supervision of a laboratory director, who is responsible for ensuring that all personnel have the proper competency, training, and experience to perform all testing.
16	Cannella	Anthony	61	Ydll29eHOng	958	978	He was a graduate of Saint Mary's college with a degree in business administration and economics. Guillermo was a stellar advocate for the community; he was at everything. Regardless of what the event was, he was a great representative for the City of Ceres. As Council Member, he was most proud of an effort we undertook to build a new community center
17	Beall	Jim	92	_yhFBNo6QkM	9	27	I don't know if my statistics are right, but I think the general thought is there, so. We have Jessica Peters, thank you for coming Jessica, from the Legislative Analyst's Office, and you're presenting us with your report, so why don't you proceed. Thank you.
18	Hertzberg	Robert	99	3cRtgxQLQsI	1335	1350	And so the state's trying to step in to say, we need to come up with a hammer, multi $1000 fine, so these processes to make those laws work. One of the things we discussed, we never got very far, which is used in a number of other areas in businesses license and other areas is silver platter doctrine.
19	Wolk	Lois	94	SwF1WjZp4L4	948	969	can't get your, that those who oversee can't get their arms around. Would it be, I would like to suggest that before the May revise that the LAO, the staff, and Mr. Morales and any suggestions you have Mr. Thompson
20	Bonta	Rob	85	bHho7H6wssE	964	974	Thank you Mr. Dababneh for bringing this bill forward, it's a great bill, I'm very pleased and happy to be able to support it today and I just wanted to respectfully request that I be added as a co-author at the next appropriate time. Thank you.
21	Bonta	Rob	85	SQe4IQVjZKc	58	75	Final question, does the department feel that any expansion of dental managed care would be an appropriate route to take given the challenges that exist with beneficiaries receiving access to care through the fee-for-service program or is that not something you're interested in?
22	Mullin	Kevin	31	hGRwdCC6_e8	506	514	All members vote who desire to vote. All members vote who desire to vote. All members vote who desire to vote, clerk will close the roll and tally the vote.
23	Wood	Jim	72	qbDN-8u61LI	1626	1643	So, I look forward to continuing to collaborate with you because I think that's how we're gonna get this across the finish line, and my hope is that we actually get a product that can actually be supported by both houses and the Governor, to move this issue forward.
24	Bloom	Richard	2	f4QHrQX2iQw	1617	1643	And note that we have ... And we begin with... Mr. Gordon, you had questions on Issue 4 on the vote only calendar that were appropriately addressed to the Energy Commission.
25	Grove	Shannon	77	xhI7BgS1JK0	1351	1363	And then I applaud and I thank my colleague over here for asking those questions cuz I appreciate you taking the amendments on the finance piece, but I have real concerns about section 2.2 as well.
26	Lara	Ricardo	107	SdYdT8y72Ng	1097	1108	These kids deserve these funds, and so I think, as we move forward, I'm hopefully seeing a compromise that will affect a small group of schools and I think only two school districts.
27	De Leon	Kevin	102	mgO95LX_sqE	849	869	And the reality is, Mr. Wolfe does a wonderful job with his advocacy. A little perhaps rigidity with regards to Bradley-Burns because one of the things we need to deal with is sustained economic growth, especially for the thirteenth largest economy, which is L.A. County.
28	Steinorth	Marc	35	2w72Z1tf27E	385	421	AB 1342 has found and struck a balance between the disabled, the business, and the legal communities. This is unique. The broad support is a recognition of the valuable role the CCDA can play in aligning the needs of these three communities. It is supported by Disability Rights of California, Cal Chamber, and the California Business Properties Association, and also the Consumer Attorneys of California. This bill also clarifies the information provided by commercial property owners to tenants, clearly delineating whether the property has received an access inspection or not. I respectfully ask for your support.
29	Jones-Sawyer	Reginald	87	nugSHhjUz14	1729	1760	Again, this very encouraging, not only are we reducing the number of beds, but we have probably got an opportunity, hopefully in the future, at brining the out of state beds back into California. We have people as far as Mississippi and Texas were housing prisoners, we need to bring them back home, once we get our numbers down. We need to do it cautiously. And, one day we may even be able to even close a prison, which has been unprecedented and never been done before. And I believe there's some talk about that.
30	Mullin	Kevin	31	iDZCoA28Gzg	69	86	Unfortunately, the authorizing statutes of the CCI excluded dual eligible individuals with developmental disabilities from enrolling. To address this population, the health plan of San Mateo has implemented a special needs plan that provides similar coordinated services.
31	Berryhill	Tom	54	R5jZe-4pYBI	1245	1260	Yeah this, just as a closing comment, this has been a very difficult bill because we're kinda caught in the middle of a political football here and so it makes it very difficult for us, so i'll take it all into consideration. I still haven't made up mind.
32	Calderon	Ian Charles	115	22ufHgqGK-A	1485	1497	Who purchase time shares and prevent time share owners from having their personal information sold the third parties including any of those entities that use the information for fraudulent purposes and since we do have a motion a second,
